"age","scenario","subperiod","disease","base_mean","base_lci","base_uci","crisis_mean","crisis_lci","crisis_uci","excess_mean","excess_lci","excess_uci","module","male","female","total","base_risk","crisis_risk","excess_risk","base_surv","crisis_surv","excess_surv","base_adj","crisis_adj","excess_adj","base_dr_mean","base_dr_lci","base_dr_uci","crisis_dr_mean","crisis_dr_lci","crisis_dr_uci","excess_dr_mean","excess_dr_lci","excess_dr_uci"
"0mo","ceasefire","months 1 to 3","hepatitis A",0,0,0,5.59226349236414e-07,0,7.82916888930979e-06,5.5930345958355e-07,0,7.83024843416969e-06,"infections - epidemic",2959,2851,5810,0,9.63855421686747e-11,9.63855421686747e-11,1,0.999999999903614,0.999999999903614,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,3.85093938909282e-07,0,5.39131514472995e-06,3.85147038566245e-07,0,5.39205853992743e-06
"0mo","ceasefire","months 1 to 3","measles",0,0,0,0.191709808811689,0,0.56487233440857,0.191736243206146,0,0.564950223266727,"infections - epidemic",2959,2851,5810,0,3.30421731497418e-05,3.30421731497418e-05,1,0.99996695782685,0.99996695782685,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,0.1320150338117,0,0.388981872072549,0.132033237040318,0,0.389035507827062
"0mo","ceasefire","months 1 to 3","polio - vaccine-derived",0,0,0,0.15282336350447,0,0.558664949893363,0.152844435942538,0,0.558741982830523,"infections - epidemic",2959,2851,5810,0,2.63398939759036e-05,2.63398939759036e-05,1,0.999973660106024,0.999973660106024,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,0.105237085286949,0,0.384707348605353,0.105251596170045,0,0.384760394956329
"0mo","ceasefire","months 1 to 3","hemorrhagic stroke",0,0,0,0,0,0,0,0,0,"NCDs",2959,2851,5810,0,0,0,1,1,1,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 1 to 3","diphtheria",0,0,0,0.000213604493038695,0,0.0025262321335264,0.000213633946437359,0,0.0025265804694677,"infections - epidemic",2959,2851,5810,0,3.6815834767642e-08,3.6815834767642e-08,1,0.999999963184165,0.999999963184165,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,0.000147092131308385,0,0.00173961166927707,0.000147112413480928,0,0.00173985154005548
"0mo","ceasefire","months 1 to 3","other viral gastroenteritis",0.013648635751088,0.0110332843246626,0.0168378720110121,0.218961307337206,0.0359397001057444,0.64311385282743,0.205359247334121,0.0225191371556252,0.629937647702036,"infections - endemic",2959,2851,5810,2.34926493178831e-06,3.7739109307842e-05,3.53898443760537e-05,0.999997650735068,0.999962260890692,0.999964610155624,0.999956517500654,0.99861848077931,0.998756177827767,0.00939871111098619,0.00759773019546002,0.011594880077494,0.150780935888205,0.0247487635298968,0.442860475173606,0.141414297726358,0.0155071077032388,0.433787088809493
"0mo","ceasefire","months 1 to 3","pertussis",0,0,0,0.000101780194179508,0,0.00149662352543307,0.000101794228400384,0,0.00149682989117341,"infections - epidemic",2959,2851,5810,0,1.75423407917384e-08,1.75423407917384e-08,1,0.999999982457659,0.999999982457659,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,7.00877845492374e-05,0,0.00103060352799948,7.00974487816255e-05,0,0.0010307456353875
"0mo","ceasefire","months 1 to 3","diabetes type 1",0,0,0,0,0,0,0,0,0,"NCDs",2959,2851,5810,0,0,0,1,1,1,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 1 to 3","Influenza, para-influenza",0.00943961659500296,0.00763079737109764,0.0116453438247127,0.0829257573148226,0.00497476617439657,0.286915369785064,0.0735089063877327,-0.00431690986257295,0.277719133198837,"infections - endemic",2959,2851,5810,1.6247895130764e-06,1.42926814686948e-05,1.26678919556184e-05,0.999998375210487,0.999985707318531,0.999987332108044,0.999956517500654,0.99861848077931,0.998756177827767,0.0065003001759961,0.00525471273066266,0.00801920605052831,0.057104259420187,0.00342571894880645,0.197575400434921,0.0506196361176796,-0.00297270653495577,0.191242696378742
"0mo","ceasefire","months 1 to 3","bacterial gastroenteritis",0.013648635751088,0.0110332843246626,0.0168378720110121,0.218961307337206,0.0359397001057444,0.64311385282743,0.205359247334121,0.0225191371556252,0.629937647702036,"infections - endemic",2959,2851,5810,2.34926493178831e-06,3.7739109307842e-05,3.53898443760537e-05,0.999997650735068,0.999962260890692,0.999964610155624,0.999956517500654,0.99861848077931,0.998756177827767,0.00939871111098619,0.00759773019546002,0.011594880077494,0.150780935888205,0.0247487635298968,0.442860475173606,0.141414297726358,0.0155071077032388,0.433787088809493
"0mo","ceasefire","months 1 to 3","colorectal cancer",0,0,0,0,0,0,0,0,0,"NCDs",2959,2851,5810,0,0,0,1,1,1,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 1 to 3","meningococcal meningitis",0,0,0,0.0033376196353444,0,0.0154675587081961,0.00333807985151454,0,0.0154696914918586,"infections - epidemic",2959,2851,5810,0,5.75255938037866e-07,5.75255938037866e-07,1,0.999999424744062,0.999999424744062,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,0.00229834859124704,0,0.0106512561798687,0.00229866550488666,0,0.0106527248554106
"0mo","ceasefire","months 1 to 3","chronic kidney disease",0,0,0,0,0,0,0,0,0,"NCDs",2959,2851,5810,0,0,0,1,1,1,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 1 to 3","lung cancer",0,0,0,0,0,0,0,0,0,"NCDs",2959,2851,5810,0,0,0,1,1,1,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 1 to 3","breast cancer",0,0,0,0,0,0,0,0,0,"NCDs",2959,2851,5810,0,0,0,1,1,1,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 4 to 6","meningococcal meningitis",0,0,0,0.041558955581752,0,0.496100545701556,0.0415659989090843,0,0.496184623813823,"infections - epidemic",2959,2851,5810,0,7.16507383820998e-06,7.16507383820998e-06,1,0.999992834926162,0.999992834926162,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,0.0286182901141645,0,0.341624305614562,0.0286231402838125,0,0.341682203407599
"0mo","ceasefire","months 4 to 6","RSV",0.0129767725125508,0.010490163512205,0.0160090164810013,0.11284568678407,0.00677532555427228,0.402145144158225,0.0999074482467126,-0.00580808568890426,0.389171954485444,"infections - endemic",2959,2851,5810,2.23356752900133e-06,1.94554378668361e-05,1.72218703378349e-05,0.999997766432471,0.999980544562133,0.999982778129662,0.999980362918245,0.998315518384444,0.998484710869637,0.00893605326002851,0.00722372683660813,0.011024114337871,0.0777076939810458,0.00466561850787258,0.276924822638611,0.0687981759518934,-0.00399955867336505,0.26799123659044
"0mo","ceasefire","months 4 to 6","traumatic injury",0,0,0,1.75830407027651,1.55534545461704,1.989346623691,1.75860206407697,1.55560905140378,1.98968377411386,"injuries",2959,2851,5810,0,0.000303144732999213,0.000303144732999213,1,0.999696855267001,0.999696855267001,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,1.21080174628316,1.07104056935256,1.36990205883376,1.21100695050242,1.07122208713159,1.37013422705065
"0mo","ceasefire","months 4 to 6","bacterial gastroenteritis",0.0137099621666712,0.0110828593731936,0.0169135283883464,0.199000423660131,0.0303385036051691,0.619383517557837,0.18534469341651,0.0170615852757829,0.60629834501568,"infections - endemic",2959,2851,5810,2.35976443986334e-06,3.43091569410368e-05,3.19493925011735e-05,0.99999764023556,0.999965690843059,0.999968050607499,0.999980362918245,0.998315518384444,0.998484710869637,0.00944094165138968,0.00763186852019469,0.0116469785030977,0.137035490363668,0.0208916727008314,0.426519313329063,0.1276318938497,0.011748933301979,0.417508613739447
"0mo","ceasefire","months 4 to 6","pertussis",0,0,0,0.000263415532680919,0,0.0033494513906782,0.000263460175810062,0,0.00335001904889285,"infections - epidemic",2959,2851,5810,0,4.54148020654045e-08,4.54148020654045e-08,1,0.999999954585198,0.999999954585198,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,0.000181392964026983,0,0.00230649616382106,0.000181423706137884,0,0.00230688706410344
"0mo","ceasefire","months 4 to 6","polio - wildtype",0,0,0,0.24094452754453,0,3.88842261865374,0.24098536233339,0,3.88908162061676,"infections - epidemic",2959,2851,5810,0,4.15406332185886e-05,4.15406332185886e-05,1,0.999958459366781,0.999958459366781,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,0.165919000950961,0,2.67764203958902,0.165947120566047,0,2.67809584092016
"0mo","ceasefire","months 4 to 6","chronic kidney disease",0,0,0,0,0,0,0,0,0,"NCDs",2959,2851,5810,0,0,0,1,1,1,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 4 to 6","lung cancer",0,0,0,0,0,0,0,0,0,"NCDs",2959,2851,5810,0,0,0,1,1,1,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 4 to 6","ischaemic stroke",0,0,0,0,0,0,0,0,0,"NCDs",2959,2851,5810,0,0,0,1,1,1,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 4 to 6","Influenza, para-influenza",0.000673038458468004,0.000544070836758772,0.000830305360099434,0.00585272547580359,0.000351401295064385,0.0208572006362036,0.0051816855764717,-0.000301235537182256,0.0201843480012101,"infections - endemic",2959,2851,5810,1.15843661831115e-07,1.00905351450455e-06,8.93209852673435e-07,0.999999884156338,0.999998990946485,0.999999106790147,0.999980362918245,0.998315518384444,0.998484710869637,0.000463467129835302,0.000374657563720286,0.000571764120297214,0.00403029848273313,0.000241981639525642,0.014362666491992,0.00356820759886857,-0.000207436541055986,0.0138993273237483
"0mo","ceasefire","months 4 to 6","pneumococcal disease",0.0662188891476947,0.0535300263670377,0.0816920606948866,0.575837791463369,0.0345736608531875,2.05209767656338,0.509815536496418,-0.0296379536608106,1.98589707021053,"infections - endemic",2959,2851,5810,1.13976229808899e-05,9.92787291430019e-05,8.78811061621121e-05,0.999988602377019,0.999900721270857,0.999912118893838,0.999980362918245,0.998315518384444,0.998484710869637,0.0455995910902662,0.0368617979674016,0.0562547123782085,0.396532895115256,0.0238080828248654,1.41311363166884,0.351068710075313,-0.0204092606366573,1.3675266304601
"0mo","ceasefire","months 4 to 6","neonatal",167.508310561016,118.696749096462,236.853148804017,213.082660538116,191.714335742853,377.008140281341,45.8610018610689,37.6293790789179,95.1861116310642,"MNH",2959,2851,5810,0.0288316006884682,0.0367370395869191,0.00790543889845094,0.971168399311532,0.963262960413081,0.992094561101549,0.999980362918245,0.998315518384444,0.998484710869637,115.349420144562,81.7368471777061,163.10159945172,146.732787487456,132.018151142912,259.61500193981,31.5807613019658,25.9123087243606,65.546973434846
"0mo","ceasefire","months 4 to 6","Hib disease",0,0,0,0,0,0,0,0,0,"infections - endemic",2959,2851,5810,0,0,0,1,1,1,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 4 to 6","hepatitis A",0,0,0,8.30598511295858e-07,0,1.01828182875213e-05,8.30739279443538e-07,0,1.01845440508703e-05,"infections - epidemic",2959,2851,5810,0,1.43201376936317e-10,1.43201376936317e-10,1,0.999999999856799,0.999999999856799,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,5.71965989806906e-07,0,7.01208304811351e-06,5.7206292544046e-07,0,7.01327144169794e-06
"0mo","ceasefire","months 4 to 6","hepatitis E",0,0,0,0.00325894111083492,0,0.0476502575824161,0.00325949342955128,0,0.0476583332512322,"infections - epidemic",2959,2851,5810,0,5.61865748709122e-07,5.61865748709122e-07,1,0.999999438134251,0.999999438134251,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,0.00224416905741016,0,0.0328128769459987,0.00224454939462122,0,0.0328184380056983
"0mo","ceasefire","months 4 to 6","maternal",0,0,0,0,0,0,0,0,0,"MNH",2959,2851,5810,0,0,0,1,1,1,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 4 to 6","other viral gastroenteritis",0.0137099621666712,0.0110828593731936,0.0169135283883464,0.199000423660131,0.0303385036051691,0.619383517557837,0.18534469341651,0.0170615852757829,0.60629834501568,"infections - endemic",2959,2851,5810,2.35976443986334e-06,3.43091569410368e-05,3.19493925011735e-05,0.99999764023556,0.999965690843059,0.999968050607499,0.999980362918245,0.998315518384444,0.998484710869637,0.00944094165138968,0.00763186852019469,0.0116469785030977,0.137035490363668,0.0208916727008314,0.426519313329063,0.1276318938497,0.011748933301979,0.417508613739447
"0mo","ceasefire","months 4 to 6","polio - vaccine-derived",0,0,0,0.42510160790487,0,6.52787397534524,0.425173653261449,0,6.52898030616007,"infections - epidemic",2959,2851,5810,0,7.3290687091222e-05,7.3290687091222e-05,1,0.999926709312909,0.999926709312909,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,0.29273308178036,0,4.49521862712939,0.292782693588143,0,4.49598046764674
"0mo","ceasefire","months 4 to 6","colorectal cancer",0,0,0,0,0,0,0,0,0,"NCDs",2959,2851,5810,0,0,0,1,1,1,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 4 to 6","typhoid fever",0,0,0,0.00040177208037382,0,0.00494556223473333,0.000401840171889485,0,0.00494640039857007,"infections - epidemic",2959,2851,5810,0,6.92685025817556e-08,6.92685025817556e-08,1,0.999999930731497,0.999999930731497,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,0.00027666792379542,0,0.00340560855849322,0.000276714812912876,0,0.00340618573411054
"0mo","ceasefire","months 4 to 6","rotavirus",0.0068549810833356,0.00554142968659682,0.00845676419417324,0.0995002118300657,0.0151692518025846,0.309691758778918,0.092672346708255,0.00853079263789146,0.303149172507841,"infections - endemic",2959,2851,5810,1.17988221993167e-06,1.71545784705185e-05,1.59746962505868e-05,0.99999882011778,0.999982845421529,0.999984025303749,0.999980362918245,0.998315518384444,0.998484710869637,0.00472047082569484,0.00381593426009735,0.00582348925154884,0.0685177451818341,0.0104458363504158,0.213259656664531,0.0638159469248499,0.00587446665098951,0.208754306869724
"0mo","ceasefire","months 4 to 6","diabetes type 1",0,0,0,0,0,0,0,0,0,"NCDs",2959,2851,5810,0,0,0,1,1,1,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 4 to 6","hemorrhagic stroke",0,0,0,0,0,0,0,0,0,"NCDs",2959,2851,5810,0,0,0,1,1,1,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 4 to 6","measles",0,0,0,1.38358531445667,0,18.8670486182908,1.38381980168392,0,18.8702461673474,"infections - epidemic",2959,2851,5810,0,0.000238540425301205,0.000238540425301205,1,0.999761459574699,0.999761459574699,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,0.952763258184584,0,12.9922098233232,0.952924730565293,0,12.9944117166402
"0mo","ceasefire","months 4 to 6","diphtheria",0,0,0,0.000500887839985582,0,0.00680878237888739,0.000500972729438756,0,0.00680993631748757,"infections - epidemic",2959,2851,5810,0,8.63567986230637e-08,8.63567986230637e-08,1,0.999999913643201,0.999999913643201,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,0.000344920927841092,0,0.00468865751594511,0.000344979384338964,0,0.00468945214009222
"0mo","ceasefire","months 4 to 6","COVID-19",0,0,0,0,0,0,0,0,0,"infections - endemic",2959,2851,5810,0,0,0,1,1,1,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 4 to 6","breast cancer",0,0,0,0,0,0,0,0,0,"NCDs",2959,2851,5810,0,0,0,1,1,1,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 4 to 6","bacterial dysentery",0,0,0,0.00129664613800534,0,0.0170375760909769,0.00129686589095765,0,0.0170404635847476,"infections - epidemic",2959,2851,5810,0,2.23551462994836e-07,2.23551462994836e-07,1,0.999999776448537,0.999999776448537,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,0.000892895281736613,0,0.0117324001190209,0.000893046607814343,0,0.0117343885023494
"0mo","ceasefire","months 4 to 6","ischaemic heart disease",0,0,0,0,0,0,0,0,0,"NCDs",2959,2851,5810,0,0,0,1,1,1,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 4 to 6","cholera",0,0,0,5.02559947398811,0,72.8780560755382,5.02645120237351,0,72.8904073003728,"infections - epidemic",2959,2851,5810,0,0.000866450824096386,0.000866450824096386,1,0.999133549175904,0.999133549175904,0.999980362918245,0.998315518384444,0.998484710869637,0,0,0,3.46072372923962,0,50.1852205506791,3.46131024566407,0,50.1937258398673
"0mo","escalation","months 1 to 3","meningococcal meningitis",0,0,0,0.0207797903291954,0,0.076181016421734,0.0207836023120833,0,0.0761949915738595,"infections - epidemic",2959,2851,5810,0,3.58901084337349e-06,3.58901084337349e-06,1,0.999996410989157,0.999996410989157,0.999956523372282,0.996529726651985,0.996712536690256,0,0,0,0.0143093602769349,0,0.0524597020938226,0.0143119852811168,0,0.0524693256503417
"0mo","escalation","months 1 to 3","bacterial gastroenteritis",0.013646790830351,0.0109983547611358,0.0166587458108407,0.386378308524928,0.0447814174520653,0.902621511000972,0.372846669432747,0.0317627716975844,0.889507389005473,"infections - endemic",2959,2851,5810,2.34894736189191e-06,6.6733875413168e-05,6.43849280512761e-05,0.999997651052638,0.999933266124587,0.999935615071949,0.999956523372282,0.996529726651985,0.996712536690256,0.00939744066334982,0.00757367703126038,0.011471530356795,0.266067478655353,0.0308373388702154,0.621562402219117,0.256749333676987,0.0218724508964939,0.612531767483327
"0mo","escalation","months 1 to 3","hemorrhagic stroke",0,0,0,0,0,0,0,0,0,"NCDs",2959,2851,5810,0,0,0,1,1,1,0.999956523372282,0.996529726651985,0.996712536690256,0,0,0,0,0,0,0,0,0
"0mo","escalation","months 1 to 3","polio - wildtype",0,0,0,0.170886259851824,0,1.18073436215073,0.170917608363432,0,1.18095096391198,"infections - epidemic",2959,2851,5810,0,2.95148617900172e-05,2.95148617900172e-05,1,0.99997048513821,0.99997048513821,0.999956523372282,0.996529726651985,0.996712536690256,0,0,0,0.117675540506397,0,0.813076220294372,0.117697127689888,0,0.813225376401784
"0mo","escalation","months 1 to 3","measles",0,0,0,0.788401437880576,0,11.379535970937,0.788546067481858,0,11.3816235086699,"infections - epidemic",2959,2851,5810,0,0.000136169868158348,0.000136169868158348,1,0.999863830131842,0.999863830131842,0.999956523372282,0.996529726651985,0.996712536690256,0,0,0,0.542908279571823,0,7.83616568852949,0.543007874276036,0,7.83760320686045
"0mo","escalation","months 1 to 3","pertussis",0,0,0,0.000221622232029042,0,0.00323952481457863,0.000221662887884693,0,0.0032401190945479,"infections - epidemic",2959,2851,5810,0,3.82777969018933e-08,3.82777969018933e-08,1,0.999999961722203,0.999999961722203,0.999956523372282,0.996529726651985,0.996712536690256,0,0,0,0.00015261329942422,0,0.00223079862517897,0.000152641295822483,0,0.00223120785770976
"0mo","escalation","months 1 to 3","diabetes type 1",0,0,0,0,0,0,0,0,0,"NCDs",2959,2851,5810,0,0,0,1,1,1,0.999956523372282,0.996529726651985,0.996712536690256,0,0,0,0,0,0,0,0,0
"0mo","escalation","months 1 to 3","ischaemic stroke",0,0,0,0,0,0,0,0,0,"NCDs",2959,2851,5810,0,0,0,1,1,1,0.999956523372282,0.996529726651985,0.996712536690256,0,0,0,0,0,0,0,0,0
"0mo","escalation","months 1 to 3","COVID-19",0,0,0,0,0,0,0,0,0,"infections - endemic",2959,2851,5810,0,0,0,1,1,1,0.999956523372282,0.996529726651985,0.996712536690256,0,0,0,0,0,0,0,0,0
"0mo","escalation","months 1 to 3","typhoid fever",0,0,0,0.000174492355136763,0,0.00239711538586146,0.000174524365174464,0,0.00239755512864455,"infections - epidemic",2959,2851,5810,0,3.01376936316695e-08,3.01376936316695e-08,1,0.999999969862306,0.999999969862306,0.999956523372282,0.996529726651985,0.996712536690256,0,0,0,0.000120158766554768,0,0.00165069941218236,0.000120180809277754,0,0.00165100222745685
"0mo","escalation","months 1 to 3","traumatic injury",0,0,0,10.3981602947521,0,47.7964684302317,10.4000678024065,0,47.8052365321651,"injuries",2959,2851,5810,0,0.00179593294531793,0.00179593294531793,1,0.998204067054682,0.998204067054682,0.999956523372282,0.996529726651985,0.996712536690256,0,0,0,7.16037166486119,0,32.9135605267588,7.16168521104358,0,32.9195984091206
"0mo","escalation","months 1 to 3","cholera",0,0,0,5.1628679052216,0,82.5838152235761,5.16381501603435,0,82.5989649476814,"infections - epidemic",2959,2851,5810,0,0.000891712024096385,0.000891712024096385,1,0.999108287975904,0.999108287975904,0.999956523372282,0.996529726651985,0.996712536690256,0,0,0,3.55524939124352,0,56.8687915689729,3.55590158982816,0,56.8792239581782
"0mo","escalation","months 1 to 3","Influenza, para-influenza",0.00943834061806854,0.00760663952165848,0.0115214572559322,0.133932563192928,0.00888548716933762,0.475749234607057,0.124549411237158,-0.000851832428409346,0.466612817071703,"infections - endemic",2959,2851,5810,1.62456987661466e-06,2.31323518652095e-05,2.15077819885948e-05,0.999998375430123,0.999976867648135,0.999978492218011,0.999956523372282,0.996529726651985,0.996712536690256,0.00649942151392249,0.00523807717440032,0.00793389539444999,0.092228519594267,0.00611871607595079,0.32761000431769,0.0857671020466751,-0.00058658807045613,0.321318492801802
