"module","scenario","subperiod","deaths_base","deaths_crisis","deaths_excess"
"MNH","ceasefire","months 1 to 3","170 (120 to 240)","220 (200 to 390)","50 (40 to 100)"
"MNH","escalation","months 1 to 3","170 (120 to 240)","340 (300 to 610)","160 (130 to 330)"
"MNH","status quo","months 1 to 3","170 (120 to 240)","280 (250 to 500)","100 (80 to 210)"
"MNH","ceasefire","months 4 to 6","170 (120 to 240)","220 (200 to 390)","50 (40 to 100)"
"MNH","escalation","months 4 to 6","170 (120 to 240)","330 (290 to 610)","160 (130 to 330)"
"MNH","status quo","months 4 to 6","170 (120 to 240)","270 (250 to 500)","100 (80 to 210)"
"NCDs","ceasefire","months 1 to 3","840 (700 to 980)","1,750 (1,570 to 1,950)","910 (720 to 1,160)"
"NCDs","escalation","months 1 to 3","840 (700 to 980)","2,180 (1,960 to 2,420)","1,370 (1,090 to 1,670)"
"NCDs","status quo","months 1 to 3","840 (700 to 980)","2,090 (1,870 to 2,310)","1,260 (1,010 to 1,550)"
"NCDs","ceasefire","months 4 to 6","840 (700 to 990)","1,600 (1,420 to 1,790)","770 (580 to 1,000)"
"NCDs","escalation","months 4 to 6","840 (700 to 990)","2,130 (1,910 to 2,360)","1,310 (1,040 to 1,620)"
"NCDs","status quo","months 4 to 6","840 (700 to 990)","2,040 (1,840 to 2,270)","1,220 (970 to 1,510)"
"infections - endemic","ceasefire","total","190 (150 to 240)","1,710 (110 to 5,910)","1,520 (-70 to 5,750)"
"infections - endemic","escalation","total","190 (150 to 230)","2,900 (200 to 10,120)","2,720 (10 to 9,970)"
"infections - endemic","status quo","total","190 (160 to 240)","2,300 (150 to 7,680)","2,120 (-30 to 7,520)"
"infections - epidemic","ceasefire","total","0 (0 to 0)","5,030 (0 to 68,600)","5,030 (0 to 68,630)"
"infections - epidemic","escalation","total","0 (0 to 0)","11,460 (0 to 166,950)","11,460 (0 to 167,030)"
"infections - epidemic","status quo","total","0 (0 to 0)","8,460 (0 to 120,300)","8,470 (0 to 120,350)"
"injuries","ceasefire","total","0 (0 to 0)","3,250 (2,900 to 3,640)","3,250 (2,900 to 3,640)"
"injuries","escalation","total","0 (0 to 0)","68,540 (59,940 to 78,700)","68,560 (59,950 to 78,730)"
"injuries","status quo","total","0 (0 to 0)","53,440 (46,090 to 61,810)","53,450 (46,090 to 61,830)"
"MNH","ceasefire","total","340 (240 to 480)","440 (400 to 770)","100 (80 to 200)"
"MNH","escalation","total","340 (240 to 480)","670 (590 to 1,220)","330 (260 to 670)"
"MNH","status quo","total","340 (240 to 480)","550 (490 to 990)","210 (170 to 420)"
"NCDs","ceasefire","total","1,680 (1,410 to 1,970)","3,350 (2,990 to 3,740)","1,680 (1,300 to 2,160)"
"NCDs","escalation","total","1,680 (1,410 to 1,970)","4,320 (3,870 to 4,780)","2,680 (2,130 to 3,290)"
"NCDs","status quo","total","1,680 (1,410 to 1,970)","4,130 (3,710 to 4,580)","2,480 (1,980 to 3,060)"
"all","ceasefire","months 1 to 3","1,140 (930 to 1,390)","6,680 (3,660 to 25,180)","5,550 (2,530 to 24,000)"
"all","escalation","months 1 to 3","1,140 (930 to 1,390)","42,080 (32,370 to 101,120)","40,980 (31,220 to 100,040)"
"all","status quo","months 1 to 3","1,140 (930 to 1,390)","33,050 (25,270 to 69,500)","31,940 (24,130 to 68,370)"
"all","ceasefire","months 4 to 6","1,080 (870 to 1,310)","7,090 (2,740 to 57,490)","6,020 (1,670 to 56,370)"
"all","escalation","months 4 to 6","1,080 (870 to 1,310)","45,800 (32,230 to 160,660)","44,770 (31,140 to 159,640)"
"all","status quo","months 4 to 6","1,080 (870 to 1,310)","35,820 (25,170 to 125,860)","34,780 (24,080 to 124,810)"
"all","ceasefire","total","2,220 (1,800 to 2,690)","13,770 (6,390 to 82,670)","11,580 (4,200 to 80,370)"
"all","escalation","total","2,220 (1,800 to 2,690)","87,880 (64,600 to 261,780)","85,750 (62,350 to 259,680)"
"all","status quo","total","2,220 (1,800 to 2,700)","68,880 (50,440 to 195,360)","66,720 (48,210 to 193,180)"
"all minus epidemics","ceasefire","months 1 to 3","1,140 (930 to 1,390)","5,160 (3,660 to 8,580)","4,030 (2,530 to 7,390)"
"all minus epidemics","escalation","months 1 to 3","1,140 (930 to 1,390)","38,680 (32,370 to 48,920)","37,580 (31,220 to 47,820)"
"all minus epidemics","status quo","months 1 to 3","1,140 (930 to 1,390)","30,640 (25,270 to 38,980)","29,530 (24,130 to 37,840)"
"all minus epidemics","ceasefire","months 4 to 6","1,080 (870 to 1,310)","3,580 (2,740 to 5,490)","2,520 (1,670 to 4,350)"
"all minus epidemics","escalation","months 4 to 6","1,080 (870 to 1,310)","37,750 (32,230 to 45,900)","36,700 (31,140 to 44,840)"
"all minus epidemics","status quo","months 4 to 6","1,080 (870 to 1,310)","29,770 (25,170 to 36,080)","28,730 (24,080 to 34,990)"
"all minus epidemics","ceasefire","total","2,220 (1,800 to 2,690)","8,740 (6,390 to 14,060)","6,550 (4,200 to 11,740)"
"all minus epidemics","escalation","total","2,220 (1,800 to 2,690)","76,430 (64,600 to 94,830)","74,290 (62,350 to 92,650)"
"all minus epidemics","status quo","total","2,220 (1,800 to 2,700)","60,410 (50,440 to 75,060)","58,260 (48,210 to 72,830)"
